Application_ID,Student_ID,Job_ID,Application_Date,Application_Status
751,38,73,13-02-2025,Submitted
752,19,14,14-02-2025,Submitted
753,44,63,15-02-2025,Shortlisted
754,8,11,16-02-2025,Submitted
755,57,38,17-02-2025,Submitted
756,21,27,18-02-2025,Submitted
757,73,10,19-02-2025,Interview Scheduled
758,4,52,20-02-2025,Submitted
759,95,14,21-02-2025,Submitted
760,33,63,22-02-2025,Shortlisted
761,14,19,23-02-2025,Submitted
762,62,41,24-02-2025,Submitted
763,48,75,25-02-2025,Submitted
764,29,22,26-02-2025,Submitted
765,87,43,27-02-2025,Rejected
766,10,68,28-02-2025,Submitted
767,52,14,01-03-2025,Submitted
768,36,95,02-03-2025,Shortlisted
769,1,33,03-03-2025,Submitted
770,68,7,04-03-2025,Submitted
771,23,56,05-03-2025,Submitted
772,40,29,06-03-2025,Interview Scheduled
773,11,48,07-03-2025,Submitted
774,72,20,08-03-2025,Submitted
775,5,61,09-03-2025,Shortlisted
776,34,12,10-03-2025,Submitted
777,59,44,11-03-2025,Submitted
778,17,6,12-03-2025,Submitted
779,93,83,13-03-2025,Rejected
780,27,15,14-03-2025,Submitted
781,46,72,15-03-2025,Submitted
782,14,19,16-03-2025,Shortlisted
783,82,53,17-03-2025,Submitted
784,33,11,18-03-2025,Submitted
785,6,38,19-03-2025,Submitted
786,50,27,20-03-2025,Interview Scheduled
787,9,14,21-03-2025,Submitted
788,71,69,22-03-2025,Submitted
789,28,4,23-03-2025,Shortlisted
790,64,16,24-03-2025,Submitted
791,12,50,25-03-2025,Submitted
792,57,33,26-03-2025,Submitted
793,18,78,27-03-2025,Rejected
794,45,22,28-03-2025,Submitted
795,39,61,29-03-2025,Submitted
796,73,10,30-03-2025,Shortlisted
797,24,82,31-03-2025,Submitted
798,52,6,01-04-2025,Submitted
799,33,43,02-04-2025,Submitted
800,7,95,03-04-2025,Interview Scheduled
,,,,
